Wind Speed,date
0.4439172447,2000-01-01 00:00:00
0.4371942878,2000-01-01 01:00:00
0.4154039919,2000-01-01 02:00:00
0.3793691993,2000-01-01 03:00:00
0.3401679695,2000-01-01 04:00:00
0.6300902367,2000-01-01 05:00:00
0.6313668489,2000-01-01 06:00:00
0.6347840428,2000-01-01 07:00:00
0.7165006995,2000-01-01 08:00:00
0.7760212421,2000-01-01 09:00:00
0.8198694587,2000-01-01 10:00:00
0.8240106106,2000-01-01 11:00:00
0.811819911,2000-01-01 12:00:00
0.7898450494,2000-01-01 13:00:00
0.7928192019,2000-01-01 14:00:00
0.7741801143,2000-01-01 15:00:00
0.6545032859,2000-01-01 16:00:00
0.6407362819,2000-01-01 17:00:00
0.6693884134,2000-01-01 18:00:00
0.7053956389,2000-01-01 19:00:00
0.710534513,2000-01-01 20:00:00
0.6930846572,2000-01-01 21:00:00
0.6666023731,2000-01-01 22:00:00
0.6452151537,2000-01-01 23:00:00
0.6286610961,2000-01-02 00:00:00
0.621891439,2000-01-02 01:00:00
0.6479070783,2000-01-02 02:00:00
0.6636252403,2000-01-02 03:00:00
0.6744702458,2000-01-02 04:00:00
0.6731427908,2000-01-02 05:00:00
0.670062542,2000-01-02 06:00:00
0.6717627645,2000-01-02 07:00:00
0.7548465133,2000-01-02 08:00:00
0.7514714599,2000-01-02 09:00:00
0.7358411551,2000-01-02 10:00:00
0.6984044313,2000-01-02 11:00:00
0.6563942432,2000-01-02 12:00:00
0.6180949807,2000-01-02 13:00:00
0.6073775887,2000-01-02 14:00:00
0.6109567881,2000-01-02 15:00:00
0.5370309949,2000-01-02 16:00:00
0.5264370441,2000-01-02 17:00:00
0.5613874197,2000-01-02 18:00:00
0.5784795284,2000-01-02 19:00:00
0.5682712793,2000-01-02 20:00:00
0.5539631844,2000-01-02 21:00:00
0.5360504389,2000-01-02 22:00:00
0.5151358843,2000-01-02 23:00:00
0.4982950389,2000-01-03 00:00:00
0.4911132455,2000-01-03 01:00:00
0.5092458129,2000-01-03 02:00:00
0.527474165,2000-01-03 03:00:00
0.5266129971,2000-01-03 04:00:00
0.5164571404,2000-01-03 05:00:00
0.5228863358,2000-01-03 06:00:00
0.5568985939,2000-01-03 07:00:00
0.6533737183,2000-01-03 08:00:00
0.6645805836,2000-01-03 09:00:00
0.6784836054,2000-01-03 10:00:00
0.6556333303,2000-01-03 11:00:00
0.6179840565,2000-01-03 12:00:00
0.5752150416,2000-01-03 13:00:00
0.527020514,2000-01-03 14:00:00
0.4407573342,2000-01-03 15:00:00
0.4122320414,2000-01-03 16:00:00
0.4462954104,2000-01-03 17:00:00
0.4658740163,2000-01-03 18:00:00
0.4764981866,2000-01-03 19:00:00
0.4875108898,2000-01-03 20:00:00
0.5071344972,2000-01-03 21:00:00
0.515344739,2000-01-03 22:00:00
0.5178322196,2000-01-03 23:00:00
0.5091968775,2000-01-04 00:00:00
0.4942349792,2000-01-04 01:00:00
0.5065051317,2000-01-04 02:00:00
0.5349074006,2000-01-04 03:00:00
0.5579198003,2000-01-04 04:00:00
0.5848012567,2000-01-04 05:00:00
0.6110138297,2000-01-04 06:00:00
0.6433337331,2000-01-04 07:00:00
0.6980203986,2000-01-04 08:00:00
