AT / 0.001 LR,,,,,,,,,
Sensitivity,Value,MSE Scaled,MSE Unscaled,MAE Scaled,MAE Unscaled,R2,Total Time,Time to best,Best Epoch
GCN Depth,1,0.0987,0.0987 / 229095.8314 ,0.2168,0.2168  / 330.2284 ,0.9014,30m 1s,29m 43s,99
,2,0.0981,0.0981 / 227711.1517 ,0.2144,0.2144 / 326.5560 ,0.902,32m 2s,32m 2s,100
,3,0.0986,0.0986 / 228892.3652 ,0.2134,0.2134 / 325.0350 ,0.9015,32m 48s,32m 9s,98
,5,0.0991,0.0991 / 230070.0700 ,0.2148,0.2148 / 327.2603 ,0.9010,34m 18s,34m 18s,100
,7,0.0996,0.0996 / 231172.3142 ,0.2191,0.2191 / 333.7170 ,0.9005,35m 2s,35m 2s,100
Hidden Dimension,32,0.101,0.1010  / 234351.9532 ,0.2145,0.2145 / 326.7828 ,0.8991,32m 47s,29m 23s,89
,64,0.0991,0.0991 / 230070.0700 ,0.2148,0.2148 / 327.2603 ,0.9010,34m 18s,34m 18s,100
,128,0.0944,0.0944 / 219103.8635 ,0.2101,0.2101 / 320.0425 ,0.9057,34m 43s,31m 14s,90
,256,0.0979,0.0979 / 227159.0710 ,0.2162,0.2162 / 329.4370 ,0.9022,35m 41s,35m 18s,99
Kernel Size,3,0.1021,0.1021 / 237008.5280 ,0.2179,0.2179 / 331.9862 ,0.8980,31m 10s,27m 37s,80
,5,0.1007,0.1007 / 233804.8887 ,0.2157,0.2157 / 328.5368 ,0.8994,32m 28s,29m 20s,90
,7,0.0991,0.0991 / 230070.0700 ,0.2148,0.2148 / 327.2603 ,0.9010,34m 18s,34m 18s,100
,11,0.0928,0.0928 / 215285.9472 ,0.2087,0.2087 / 317.9061 ,0.9074,31m 13s,27m 56s,88
Dilation,1,0.1027,0.1027 / 238383.2124 ,0.2190,0.2190 / 333.6806 ,0.8974,33m 0s,33m 0s,100
,2,0.1017,0.1017 / 235928.1207 ,0.2163,0.2163 / 329.5755 ,0.8985,34m 57s,34m 35s,99
,3,0.0991,0.0991 / 230070.0700 ,0.2148,0.2148 / 327.2603 ,0.9010,34m 18s,34m 18s,100
,5,0.0963,0.0963 / 223569.0914 ,0.2126,0.2126 / 323.9325 ,0.9038,34m 3s,34m 3s,100
