config,GCN_Layer,hidden_dim,kernel_size,dilation,n_params,best_val_loss,test_mse,test_mae,test_r2,test_mse_scaled,test_mae_scaled,avg_epoch_time_s,peak_gpu_mem_mb,avg_inference_ms,model_path,beats_baseline
hidden_dim_32,5,32,7,3,564544,0.20092608394230357,2755114.262558093,1222.4535668305016,0.8153215283548241,0.16020079417500427,0.29477788390459925,2.5699616237120195,42.06005859375,1.4583025828446492,Intial_Paper/TR_GNN_SH_Sensitivity/hidden_dim_32_best_model.pth,True
dilation_5,5,64,7,5,1002272,0.202336150452052,3028297.07392632,1265.028984385757,0.7970097709192637,0.1760854723282493,0.3050443609584742,2.62417931325974,64.65380859375,1.3938162586476543,Intial_Paper/TR_GNN_SH_Sensitivity/dilation_5_best_model.pth,True
GCN_Layer_7,7,64,7,3,1010592,0.20292354635156618,2962275.796871168,1248.722260502739,0.8014352529068193,0.17224655313697665,0.3011122185114481,2.7124360072148312,64.78271484375,1.4616121159921778,Intial_Paper/TR_GNN_SH_Sensitivity/GCN_Layer_7_best_model.pth,True
kernel_size_11,5,64,11,3,1008672,0.2036559442888097,3116503.51134545,1285.580593630318,0.7910971921659217,0.18121438531669729,0.310000099195349,2.8473279816763744,64.75146484375,1.3255152371850345,Intial_Paper/TR_GNN_SH_Sensitivity/kernel_size_11_best_model.pth,True
GCN_Layer_2,2,64,7,3,989792,0.20464984838398967,2829884.3786946023,1223.1088017173213,0.8103096016407567,0.16454842946128256,0.29493588479611615,2.4160701806032203,64.46044921875,1.3620546548673422,Intial_Paper/TR_GNN_SH_Sensitivity/GCN_Layer_2_best_model.pth,True
GCN_Layer_3,3,64,7,3,993952,0.20606557508506398,2861791.0423529968,1226.4796386696898,0.8081708613497252,0.16640369656472515,0.29574871581953316,2.445282351970673,64.52490234375,1.3064606354968382,Intial_Paper/TR_GNN_SH_Sensitivity/GCN_Layer_3_best_model.pth,True
kernel_size_3,5,64,3,3,995872,0.20806156316458588,3025803.7858252577,1275.6150674035075,0.7971768988827508,0.1759404958605487,0.3075970494494585,2.8560522759661957,64.55615234375,1.4751453210811805,Intial_Paper/TR_GNN_SH_Sensitivity/kernel_size_3_best_model.pth,True
dilation_2,5,64,7,2,1002272,0.20829365684623175,2878918.217470665,1230.8524172091234,0.8070228071411154,0.1673995852264452,0.29680315129226825,2.541274811092176,64.65380859375,1.29094926437529,Intial_Paper/TR_GNN_SH_Sensitivity/dilation_2_best_model.pth,True
hidden_dim_128,5,128,7,3,1920736,0.2087607572758847,2901039.3058349807,1242.0591421508411,0.8055400051950152,0.16868585344847112,0.2995054990570063,2.6764281652867794,117.79248046875,1.563348392448803,Intial_Paper/TR_GNN_SH_Sensitivity/hidden_dim_128_best_model.pth,True
hidden_dim_256,5,256,7,3,3929696,0.20978465300090243,3059034.6581234117,1276.8952410496174,0.7949493953665223,0.17787276132250798,0.3079057457375385,3.3542642299945538,217.58740234375,2.1224470421819404,Intial_Paper/TR_GNN_SH_Sensitivity/hidden_dim_256_best_model.pth,True
GCN_Layer_1,1,64,7,3,985632,0.210150703400521,2909983.5833415412,1234.111394851044,0.8049404600065161,0.16920593364236558,0.2975890089796637,2.400697345000047,64.39599609375,1.2973015851313525,Intial_Paper/TR_GNN_SH_Sensitivity/GCN_Layer_1_best_model.pth,True
Baseline,5,64,7,3,1002272,0.2101584107864021,2916938.038697362,1246.096500394281,0.8044742948809198,0.16961031225061346,0.30047905253327595,2.8495463617146015,64.52001953125,1.452018718908329,Intial_Paper/TR_GNN_SH_Sensitivity/Baseline_best_model.pth,False
kernel_size_5,5,64,5,3,999072,0.21438909047237126,2995730.1750836223,1255.1495799614113,0.7991927675325905,0.17419181472960837,0.30266207830213004,2.909046311309372,64.60498046875,1.3168212210777963,Intial_Paper/TR_GNN_SH_Sensitivity/kernel_size_5_best_model.pth,False
dilation_1,5,64,7,1,1002272,0.21500948698508857,3145254.674751099,1302.2982044650553,0.7891699686790649,0.18288617050311773,0.3140313213861283,2.753420203419055,64.65380859375,1.44554600857272,Intial_Paper/TR_GNN_SH_Sensitivity/dilation_1_best_model.pth,False
